Country;Total Confirmed;Total Deaths;Total Recovered;New Confirmed;New Deaths;New Recovered
Global;28157646;909458;18989930;298044;5823;215600
Afghanistan;38572;1420;31129;28;0;81
Albania;10860;324;6346;156;2;62
Algeria;47488;1591;33562;272;10;183
Andorra;1301;53;938;0;0;0
Angola;3217;130;1277;125;4;32
Antigua and Barbuda;95;3;91;0;0;0
Argentina;524198;10907;390098;11905;249;7608
Armenia;45326;906;41233;174;1;210
Australia;26564;797;23037;40;9;176
Austria;31247;748;26043;664;1;279
Azerbaijan;37874;556;35269;142;1;150
Bahamas;2721;63;1183;0;0;0
Bahrain;58207;207;52284;757;4;465
Bangladesh;332970;4634;233550;1892;41;2746
Barbados;180;7;157;0;0;1
Belarus;73591;732;72203;189;6;204
Belgium;90568;9917;18659;877;0;24
Belize;1365;18;326;0;0;0
Benin;2242;40;1793;0;0;0
Bhutan;238;0;155;4;0;0
Bolivia;124205;7193;79483;860;47;2267
Bosnia and Herzegovina;22544;680;15273;286;5;65
Botswana;2252;10;546;126;1;53
Brazil;4238446;129522;3657701;40557;983;46069
Brunei Darussalam;145;3;139;0;0;0
Bulgaria;17598;706;12619;163;4;145
Burkina Faso;1486;56;1123;10;0;5
Burundi;469;1;374;3;0;0
Cambodia;274;0;274;0;0;1
Cameroon;20009;415;18837;161;0;389
Canada;136943;9212;120848;821;9;1059
Cape Verde;4557;43;3993;84;0;78
Central African Republic;4747;62;1825;11;0;0
Chad;1051;79;932;3;0;1
Chile;428669;11781;401356;1642;79;1801
China;90127;4733;85005;27;0;48
Colombia;694664;22275;569479;7813;222;16594
Comoros;456;7;415;0;0;0
Congo (Brazzaville);4891;114;3887;0;0;0
Congo (Kinshasa);10343;262;9533;19;2;10
Costa Rica;52549;567;20322;1325;24;778
Croatia;12917;208;10142;291;2;309
Cuba;4551;106;3779;92;2;52
Cyprus;1517;22;1237;3;0;0
Czech Republic;32413;448;20787;1377;4;413
Côte d'Ivoire;18869;119;17884;54;0;114
Denmark;19353;629;16493;317;1;79
Djibouti;5394;61;5327;3;0;0
Dominica;24;0;18;2;0;0
Dominican Republic;101716;1926;75034;779;12;729
Ecuador;113206;10749;91242;1040;48;0
Egypt;100557;5590;81597;154;13;908
El Salvador;26688;774;17106;86;4;320
Equatorial Guinea;4990;83;4479;0;0;0
Eritrea;361;0;304;20;0;9
Estonia;2600;64;2223;15;0;10
Ethiopia;62578;974;23640;878;8;586
Fiji;32;2;24;0;0;0
Finland;8469;337;7500;39;0;0
France;392243;30819;89468;8951;14;226
Gabon;8621;53;7618;0;0;0
Gambia;3330;100;1460;37;1;0
Georgia;1830;19;1334;57;0;9
Germany;258149;9345;230283;1716;3;1499
Ghana;45313;283;44188;0;0;0
Greece;12452;297;1347;372;4;0
Grenada;24;0;24;0;0;0
Guatemala;80306;2918;68927;684;21;619
Guinea;9946;63;9100;61;0;32
Guinea-Bissau;2275;39;1127;30;1;0
Guyana;1750;49;1088;47;1;43
Haiti;8429;215;5991;45;1;0
Holy See (Vatican City State);12;0;12;0;0;0
Honduras;65802;2049;15577;205;5;513
Hungary;10191;630;3990;476;2;6
Iceland;2157;10;2072;4;0;5
India;4562414;76271;3542663;96551;1209;70880
Indonesia;207203;8456;147510;3861;120;2310
Iran, Islamic Republic of;395488;22798;340842;2063;129;1731
Iraq;278418;7814;213817;4597;82;3824
Ireland;30360;1781;23364;196;0;0
Israel;145526;1077;109942;4429;23;1588
Italy;283180;35587;211885;1597;10;613
Jamaica;3511;40;1019;74;2;0
Japan;73916;1416;64489;652;4;755
Jordan;2739;20;1981;80;1;62
Kazakhstan;106661;1634;100409;77;0;161
Kenya;35603;612;22047;143;5;490
Korea (South);21919;350;17616;176;4;256
Kuwait;92822;556;83040;740;4;818
Kyrgyzstan;44684;1061;40487;71;0;151
Lao PDR;22;0;21;0;0;0
Latvia;1448;35;1248;5;0;14
Lebanon;22437;219;7312;560;7;288
Lesotho;1164;31;528;0;0;0
Liberia;1315;82;1194;2;0;0
Libya;20939;339;2420;477;15;91
Liechtenstein;109;1;105;1;0;0
Lithuania;3199;86;2030;36;0;22
Luxembourg;7088;124;6367;65;0;75
Macedonia, Republic of;15414;637;12896;121;3;142
Madagascar;15624;208;14295;104;2;52
Malawi;5655;176;3683;2;0;53
Malaysia;9628;128;9167;45;0;24
Maldives;8900;31;6559;66;0;271
Mali;2909;128;2269;11;0;2
Malta;2204;14;1803;42;0;43
Mauritania;7222;161;6758;31;0;57
Mauritius;361;10;335;0;0;0
Mexico;652364;69649;541804;5043;600;3290
Moldova;41704;1106;28962;560;10;0
Monaco;165;1;107;4;0;0
Mongolia;311;0;298;1;0;0
Montenegro;6222;114;4393;128;0;43
Morocco;79767;1491;61850;1889;38;2127
Mozambique;4832;31;2857;68;3;94
Myanmar;2150;14;625;141;0;72
Namibia;9256;96;4767;148;3;127
Nepal;50465;317;35700;1246;5;1818
Netherlands;78511;6249;0;823;3;0
New Zealand;1793;24;1655;1;0;7
Nicaragua;4818;144;2913;0;0;0
Niger;1178;69;1099;0;0;0
Nigeria;55829;1075;43810;197;5;200
Norway;11867;265;9348;121;1;0
Oman;88337;762;83325;398;11;210
Pakistan;300371;6370;288206;341;5;548
Palestinian Territory;28664;198;18821;745;6;355
Panama;99715;2127;72203;673;11;784
Papua New Guinea;507;5;232;3;0;0
Paraguay;25631;485;12729;605;11;420
Peru;702776;30236;536959;6586;113;0
Philippines;248947;4066;186058;3804;80;515
Poland;72453;2159;58069;506;12;934
Portugal;62126;1852;43441;585;3;157
Qatar;121052;205;117978;206;0;232
Republic of Kosovo;12683;488;8788;0;0;0
Romania;99684;4065;41010;1380;47;8
Russian Federation;1042836;18207;859961;5310;127;5892
Rwanda;4479;22;2352;19;1;27
Saint Kitts and Nevis;17;0;17;0;0;0
Saint Lucia;27;0;26;0;0;0
Saint Vincent and Grenadines;62;0;58;0;0;0
San Marino;722;42;662;0;0;0
Sao Tome and Principe;901;15;866;3;0;4
Saudi Arabia;323720;4189;299998;708;24;1032
Senegal;14150;293;10207;48;0;31
Serbia;32136;729;0;58;1;0
Seychelles;137;0;127;0;0;0
Sierra Leone;2069;72;1622;2;0;0
Singapore;57229;27;56558;63;0;66
Slovakia;5066;37;3001;178;0;54
Slovenia;3389;135;2620;77;0;33
Somalia;3371;97;2738;0;0;0
South Africa;644438;15265;573003;2007;97;3068
South Sudan;2555;49;1290;0;0;0
Spain;554143;29699;150376;10764;71;0
Sri Lanka;3155;12;2955;8;0;9
Sudan;13437;833;6730;0;0;0
Suriname;4477;93;3706;30;1;84
Swaziland;4994;98;4103;58;1;26
Sweden;86194;5843;0;314;1;0
